Pixel,MeanSmoothedNormalizedIntensity,StdSmoothedNormalizedIntensity,CVSmoothedNormalizedIntensity
300,0.8054096980594918,0.00197122991282954,0.002447487182708265
301,0.805347124596824,0.0019489844010049087,0.002420055081193239
302,0.805287103358466,0.001967727606570296,0.0024435106415635474
303,0.8052325869585051,0.0019912761389865082,0.0024729204595505547
304,0.805163658067541,0.0020324185270018894,0.002524230330862003
305,0.8050967535215505,0.0020743537783178556,0.002576527317051627
306,0.805034068630411,0.0021083469923975887,0.002618953749354333
307,0.8049632227171676,0.002156229079080373,0.0026786678176451135
308,0.8048929450083394,0.0022064502546521522,0.0027412965517163174
309,0.8048219679106934,0.0022550171167046444,0.002801883157536862
310,0.8047526190518337,0.0023042940143450795,0.0028633569618698703
311,0.8047000630777827,0.0023376977243144766,0.0029050547298000067
312,0.8046236180699481,0.002347248357375899,0.0029172004209946597
313,0.8045414016712561,0.0023576541821786214,0.0029304323895341104
314,0.804484018839877,0.0023925795274667185,0.0029740547623518833
315,0.8044351220423819,0.002425271928175145,0.0030148757329461415
316,0.8043834674248455,0.00241674509746289,0.003004468882484447
317,0.804316651155556,0.0024231659970141003,0.003012701519398803
318,0.8042511131578236,0.0024368758085277823,0.0030299937030358547
319,0.8042030107101766,0.0024687307859574373,0.0030697855554872237
320,0.8041697373888507,0.0025272442972551065,0.003142675208670623
321,0.8041260716707755,0.0025658500455934346,0.0031908554342259185
322,0.8040847394958345,0.002605803818358941,0.003240707963184072
323,0.8040422376506934,0.0026101027084345966,0.0032462258650254204
324,0.8039982073565574,0.0026149055478468584,0.0032523773360693567
325,0.8039538868673224,0.0026196808817378152,0.0032584964442993543
326,0.8039229431275545,0.0026523729153125567,0.003299287497622415
327,0.8038829877628897,0.002647738164487357,0.0032936860274350326
328,0.8038433377554426,0.0026432628636813976,0.003288281110921605
329,0.8038099473048781,0.0026337608330809096,0.0032765964665052187
330,0.8037749977016132,0.002631710612758723,0.003274188199787346
331,0.8037394232529694,0.002630304995466527,0.003272584272177306
332,0.8036971645460003,0.0026196739312635622,0.003259528646892001
333,0.8036600534793962,0.002609265091631354,0.0032467273697811693
334,0.8036033125359594,0.00260784901446531,0.0032451944557515926
335,0.8035550601633302,0.0026000258949517587,0.003235653689273363
336,0.8034914726389403,0.002602934458754489,0.0032395296619708532
337,0.8034236027253779,0.0026089300153208255,0.0032472658339521006
338,0.8033550287228703,0.0026146621239065944,0.0032546782311965363
339,0.8032801685522013,0.0026143458908946125,0.00325458786765096
340,0.8032149716761368,0.002617286286012088,0.0032585128244688654
341,0.8031529935663638,0.0026465954702927738,0.003295256932979467
342,0.8030828743664594,0.0026581569939614223,0.0033099410768264786
343,0.8030289751044248,0.00268251277628193,0.0033404931321850493
344,0.8029756221478632,0.002705631010542597,0.003369505793096632
345,0.8029147676682215,0.002710510440998345,0.003375838320759814
346,0.8028539621016035,0.0027127773441196043,0.003378917551852717
347,0.8027992046079163,0.0027127460431129987,0.0033791090319252276
348,0.8027513782256761,0.0027108642431519893,0.0033769661649710537
349,0.8026948468752035,0.002715854586020534,0.0033834209807039823
350,0.8026444431995794,0.002718469349428339,0.0033868911352475223
