Pixel,SmoothedIntensityADC,ReferenceIntensityADC,ReferenceCorrectedRatio,ReferenceCorrectedRatioNormalizedMax
1118,2285.4884827125343,2285.4884827125343,1.0,1.0
1119,2285.3405197093857,2285.3405197093857,1.0,1.0
1120,2285.192691788494,2285.192691788494,1.0,1.0
1121,2285.0347754017957,2285.0347754017957,1.0,1.0
1122,2284.8668054092295,2284.8668054092295,1.0,1.0
1123,2284.7093422017147,2284.7093422017147,1.0,1.0
1124,2284.552811497518,2284.552811497518,1.0,1.0
1125,2284.3684207315664,2284.3684207315664,1.0,1.0
1126,2284.2588498486775,2284.2588498486775,1.0,1.0
1127,2284.156904577036,2284.156904577036,1.0,1.0
1128,2284.0626546365156,2284.0626546365156,1.0,1.0
1129,2284.0049971720005,2284.0049971720005,1.0,1.0
1130,2283.953226679369,2283.953226679369,1.0,1.0
1131,2283.9170481651167,2283.9170481651167,1.0,1.0
1132,2283.972781361102,2283.972781361102,1.0,1.0
1133,2284.0474234584854,2284.0474234584854,1.0,1.0
1134,2284.1206406559386,2284.1206406559386,1.0,1.0
1135,2284.192633398099,2284.192633398099,1.0,1.0
1136,2284.263602129607,2284.263602129607,1.0,1.0
1137,2284.3337472951007,2284.3337472951007,1.0,1.0
1138,2284.403269339218,2284.403269339218,1.0,1.0
1139,2284.441567337647,2284.441567337647,1.0,1.0
1140,2284.4378904857776,2284.4378904857776,1.0,1.0
1141,2284.411596506699,2284.411596506699,1.0,1.0
1142,2284.3339799851806,2284.3339799851806,1.0,1.0
1143,2284.2564549709964,2284.2564549709964,1.0,1.0
1144,2284.1406633323268,2284.1406633323268,1.0,1.0
1145,2284.0277171360253,2284.0277171360253,1.0,1.0
1146,2283.9176599570137,2283.9176599570137,1.0,1.0
1147,2283.810535370213,2283.810535370213,1.0,1.0
1148,2283.7063869505446,2283.7063869505446,1.0,1.0
1149,2283.60525827293,2283.60525827293,1.0,1.0
1150,2283.5071929122905,2283.5071929122905,1.0,1.0
1151,2283.412234443548,2283.412234443548,1.0,1.0
1152,2283.3204264416245,2283.3204264416245,1.0,1.0
1153,2283.231812481439,2283.231812481439,1.0,1.0
1154,2283.1361690149324,2283.1361690149324,1.0,1.0
1155,2283.04314004371,2283.04314004371,1.0,1.0
1156,2282.95276042771,2282.95276042771,1.0,1.0
1157,2282.8650650268683,2282.8650650268683,1.0,1.0
1158,2282.780088701123,2282.780088701123,1.0,1.0
1159,2282.697866310411,2282.697866310411,1.0,1.0
1160,2282.61843271467,2282.61843271467,1.0,1.0
1161,2282.541822773836,2282.541822773836,1.0,1.0
1162,2282.4680713478465,2282.4680713478465,1.0,1.0
1163,2282.407480419622,2282.407480419622,1.0,1.0
1164,2282.3504844224144,2282.3504844224144,1.0,1.0
1165,2282.258690364465,2282.258690364465,1.0,1.0
1166,2282.1731754526913,2282.1731754526913,1.0,1.0
1167,2282.0939484020773,2282.0939484020773,1.0,1.0
1168,2282.059454494287,2282.059454494287,1.0,1.0
1169,2281.990232245629,2281.990232245629,1.0,1.0
1170,2281.9657954297013,2281.9657954297013,1.0,1.0
1171,2281.9348520065078,2281.9348520065078,1.0,1.0
1172,2281.907045977656,2281.907045977656,1.0,1.0
1173,2281.882412203083,2281.882412203083,1.0,1.0
1174,2281.8609855427258,2281.8609855427258,1.0,1.0
